work,type,size,PKG,seconds
bent_cigar, f, 128, 3.18, 0.06808085
bent_cigar, f, 128, 0.69, 0.04783138
bent_cigar, f, 128, 0.49, 0.04896210
bent_cigar, f, 128, 0.65, 0.04919386
bent_cigar, f, 128, 0.66, 0.04827288
bent_cigar, f, 128, 0.45, 0.04805990
bent_cigar, f, 128, 0.65, 0.04859859
bent_cigar, f, 128, 0.72, 0.04872846
bent_cigar, f, 128, 0.68, 0.04900904
bent_cigar, f, 128, 0.83, 0.04836294
bent_cigar, f, 128, 0.41, 0.04800819
bent_cigar, f, 128, 0.66, 0.04826529
bent_cigar, f, 128, 0.73, 0.04904514
bent_cigar, f, 128, 0.52, 0.04840991
bent_cigar, f, 128, 0.62, 0.04868410
bent_cigar, f, 128, 0.62, 0.04751655
bent_cigar, f, 128, 0.47, 0.05020111
bent_cigar, f, 128, 0.49, 0.04923042
bent_cigar, f, 128, 0.81, 0.04916162
bent_cigar, f, 128, 0.49, 0.04892524
bent_cigar, f, 128, 0.67, 0.04928428
bent_cigar, f, 128, 0.92, 0.04905947
bent_cigar, f, 128, 3.47, 0.05057900
bent_cigar, f, 128, 0.68, 0.04830420
bent_cigar, f, 128, 0.55, 0.04811149
bent_cigar, f, 128, 0.53, 0.04790314
bent_cigar, f, 128, 0.68, 0.04933849
bent_cigar, f, 128, 0.48, 0.05017848
bent_cigar, f, 128, 0.61, 0.04857240
bent_cigar, f, 128, 0.60, 0.04922958
bent_cigar, d, 128, 0.49, 0.04863024
bent_cigar, d, 128, 0.63, 0.04883823
bent_cigar, d, 128, 0.54, 0.04872295
bent_cigar, d, 128, 0.66, 0.04847330
bent_cigar, d, 128, 3.58, 0.05072151
bent_cigar, d, 128, 0.55, 0.04929374
bent_cigar, d, 128, 0.52, 0.04919503
bent_cigar, d, 128, 0.56, 0.04866705
bent_cigar, d, 128, 0.50, 0.04934897
bent_cigar, d, 128, 0.67, 0.04864628
bent_cigar, d, 128, 3.63, 0.05075060
bent_cigar, d, 128, 0.56, 0.04966988
bent_cigar, d, 128, 0.60, 0.05015835
bent_cigar, d, 128, 0.53, 0.04961692
bent_cigar, d, 128, 0.56, 0.04890241
bent_cigar, d, 128, 0.71, 0.04953183
bent_cigar, d, 128, 0.48, 0.04918280
bent_cigar, d, 128, 0.60, 0.04872887
bent_cigar, d, 128, 0.68, 0.04961082
bent_cigar, d, 128, 0.50, 0.04867443
bent_cigar, d, 128, 0.57, 0.04891431
bent_cigar, d, 128, 0.54, 0.04946342
bent_cigar, d, 128, 0.57, 0.04841309
bent_cigar, d, 128, 0.63, 0.04923043
bent_cigar, d, 128, 0.48, 0.04840445
bent_cigar, d, 128, 0.57, 0.04950862
bent_cigar, d, 128, 0.62, 0.04751371
bent_cigar, d, 128, 0.49, 0.04928363
bent_cigar, d, 128, 0.69, 0.04908247
bent_cigar, d, 128, 0.59, 0.04902103
different_powers, f, 128, 3.69, 0.06611362
different_powers, f, 128, 3.72, 0.06746137
different_powers, f, 128, 3.71, 0.06655960
different_powers, f, 128, 3.75, 0.06634785
different_powers, f, 128, 3.67, 0.06468151
different_powers, f, 128, 3.70, 0.06602070
